FID,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição
vw_pib_percapita.fid--33501df1_157d3a3b533_-178d,215,BAHIA,Tremedal,2010,57883.9921875,18433,3140.23999023,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-178b,306,RIO GRANDE DO SUL,Turuçu,2010,45723875,4000,11430.96972656,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-178a,900,ESPIRITO SANTO,Vitória,2010,19782628,320156,61790.58984375,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1783,3613,MINAS GERAIS,Jacutinga,2010,247816,21424,11567.20996094,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1751,1028,PIAUÍ,Nazária,2010,20951.38085938,7895,2653.75,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1743,3403,MINAS GERAIS,Pedra Azul,2010,187523.671875,26000,7212.45019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1740,1029,PIAUÍ,Teresina,2010,8700461,802537,10841.20019531,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1735,5153,PIAUÍ,Amarante,2010,65322.88671875,17892,3650.94995117,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1734,1048,GOIÁS,Matrinchã,2010,45910.546875,4420,10387,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1725,2629,PERNAMBUCO,Cachoeirinha,2010,80433.8046875,18123,4438.22021484,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-1724,2141,PARÁ,Afuá,2010,100038.40625,32633,3065.56005859,Produto Interno Bruto per capita
vw_pib_percapita.fid--33501df1_157d3a3b533_-171d,2845,PERNAMBUCO,Fernando de Noronha,2010,26980.71484375,3108,8681.04980469,Produto Interno Bruto per capita
