FID,gid,UF,nome,Censo,Populacao_Masculina,Populacao_Feminina
vw_razao_de_sexo.fid--33501df1_157d3a092ec_636b,215,BAHIA,Tremedal,2010,8532,8497
vw_razao_de_sexo.fid--33501df1_157d3a092ec_636c,306,RIO GRANDE DO SUL,Turuçu,2010,1778,1744
vw_razao_de_sexo.fid--33501df1_157d3a092ec_636e,900,ESPIRITO SANTO,Vitória,2010,153948,173853
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6373,3613,MINAS GERAIS,Jacutinga,2010,11334,11438
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63b2,1028,PIAUÍ,Nazária,2010,4085,3983
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63ba,3403,MINAS GERAIS,Pedra Azul,2010,11744,12095
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63be,1029,PIAUÍ,Teresina,2010,380612,433618
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63d4,5153,PIAUÍ,Amarante,2010,8317,8818
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63d5,1048,GOIÁS,Matrinchã,2010,2254,2160
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63e9,2629,PERNAMBUCO,Cachoeirinha,2010,9104,9715
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63ea,2141,PARÁ,Afuá,2010,18453,16589
vw_razao_de_sexo.fid--33501df1_157d3a092ec_63f9,2845,PERNAMBUCO,Fernando de Noronha,2010,1292,1338
vw_razao_de_sexo.fid--33501df1_157d3a092ec_642e,628,RIO GRANDE DO SUL,Frederico Westphalen,2010,14128,14715
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6432,1199,SERGIPE,Amparo de São Francisco,2010,1135,1140
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6433,4548,SÃO PAULO,Itapeva,2010,43243,44510
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6444,2248,PARAÍBA,Bayeux,2010,47736,51980
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6448,5554,TOCANTINS,Ananás,2010,4981,4884
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6459,3034,MINAS GERAIS,Santo Antônio do Retiro,2010,3526,3429
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6460,2458,PARAÍBA,Serra Branca,2010,6334,6639
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6461,1008,AMAZONAS,Envira,2010,8392,7946
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6470,5357,TOCANTINS,Oliveira de Fátima,2010,552,485
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6478,4293,SÃO PAULO,Elisiário,2010,1650,1470
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6481,5437,SANTA CATARINA,Otacílio Costa,2010,8262,8075
vw_razao_de_sexo.fid--33501df1_157d3a092ec_648d,3243,MINAS GERAIS,Sericita,2010,3647,3481
vw_razao_de_sexo.fid--33501df1_157d3a092ec_648e,3352,MINAS GERAIS,Diamantina,2010,22239,23641
vw_razao_de_sexo.fid--33501df1_157d3a092ec_649a,4559,BAHIA,Maetinga,2010,3581,3457
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64a7,4890,CEARÁ,Iracema,2010,6763,6959
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64a9,1529,RORAIMA,São João da Baliza,2010,3551,3218
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64b3,647,RIO GRANDE DO SUL,Paulo Bento,2010,1126,1070
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64b4,3595,PERNAMBUCO,Alagoinha,2010,6913,6846
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64b7,1146,PIAUÍ,Inhuma,2010,7319,7526
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64b8,1654,MARANHÃO,Joselândia,2010,7815,7618
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64c4,1999,RIO DE JANEIRO,Itaguaí,2010,54409,54682
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64ca,3202,MINAS GERAIS,Cedro do Abaeté,2010,628,582
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64d8,444,RIO GRANDE DO SUL,Cacequi,2010,6836,6840
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64fc,3644,PERNAMBUCO,Barra de Guabiraba,2010,6515,6261
vw_razao_de_sexo.fid--33501df1_157d3a092ec_64fe,4475,BAHIA,Ibirapuã,2010,4098,3858
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6500,2251,PARAÍBA,Bernardino Batista,2010,1476,1599
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6502,2160,PARAÍBA,Lagoa,2010,2304,2377
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6503,3988,MATO GROSSO,Novo Horizonte do Norte,2010,1936,1813
vw_razao_de_sexo.fid--33501df1_157d3a092ec_650e,2595,MINAS GERAIS,Nova Lima,2010,39151,41847
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6518,2389,PARÁ,Tomé-Açu,2010,29323,27195
vw_razao_de_sexo.fid--33501df1_157d3a092ec_651b,4459,BAHIA,Governador Mangabeira,2010,9497,10321
vw_razao_de_sexo.fid--33501df1_157d3a092ec_651c,5018,PIAUÍ,Aroeiras do Itaim,2010,1273,1167
vw_razao_de_sexo.fid--33501df1_157d3a092ec_651e,1188,GOIÁS,Perolândia,2010,1570,1380
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6527,2425,PARAÍBA,Pocinhos,2010,8490,8542
vw_razao_de_sexo.fid--33501df1_157d3a092ec_652a,4478,BAHIA,Ibititá,2010,9058,8782
vw_razao_de_sexo.fid--33501df1_157d3a092ec_652b,5403,TOCANTINS,Aliança do Tocantins,2010,2907,2764
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6536,3521,MINAS GERAIS,Igarapé,2010,17520,17331
vw_razao_de_sexo.fid--33501df1_157d3a092ec_653e,1108,TOCANTINS,Lagoa da Confusão,2010,5525,4685
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6542,2429,PARAÍBA,Puxinanã,2010,6356,6567
vw_razao_de_sexo.fid--33501df1_157d3a092ec_654a,5045,SÃO PAULO,Guarujá,2010,141711,149041
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6557,168,RIO GRANDE DO SUL,Engenho Velho,2010,742,785
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6559,3794,PARANÁ,Rio Bom,2010,1742,1592
vw_razao_de_sexo.fid--33501df1_157d3a092ec_655e,153,BAHIA,Sátiro Dias,2010,9567,9397
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6561,5372,SANTA CATARINA,José Boiteux,2010,2392,2329
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6563,2225,PARÁ,Cachoeira do Arari,2010,10545,9898
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6570,4490,BAHIA,Irajuba,2010,3506,3496
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6571,3466,PERNAMBUCO,Palmares,2010,28803,30723
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6572,1243,SERGIPE,Brejo Grande,2010,3936,3806
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6577,2966,PARANÁ,Altamira do Paraná,2010,2202,2104
vw_razao_de_sexo.fid--33501df1_157d3a092ec_657f,2325,MATO GROSSO,Nova Santa Helena,2010,1811,1657
vw_razao_de_sexo.fid--33501df1_157d3a092ec_658a,2418,PARAÍBA,São Sebastião do Umbuzeiro,2010,1616,1619
vw_razao_de_sexo.fid--33501df1_157d3a092ec_658b,4076,MATO GROSSO,Nova Guarita,2010,2582,2350
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6595,2520,MARANHÃO,Serrano do Maranhão,2010,5851,5089
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6599,4728,SÃO PAULO,Pedrinhas Paulista,2010,1463,1477
vw_razao_de_sexo.fid--33501df1_157d3a092ec_659a,1253,GOIÁS,Santa Rita do Novo Destino,2010,1727,1446
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65a7,2351,PARAÍBA,Cabedelo,2010,27630,30314
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65a8,3703,PERNAMBUCO,Cabrobó,2010,15052,15821
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65af,814,ALAGOAS,Dois Riachos,2010,5454,5426
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65b0,1398,MATO GROSSO DO SUL,Corumbá,2010,52285,51418
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65db,2948,MINAS GERAIS,Santa Maria do Suaçuí,2010,7154,7241
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65de,4029,MATO GROSSO,Tapurah,2010,6059,4333
vw_razao_de_sexo.fid--33501df1_157d3a092ec_65f0,2218,PARÁ,Bragança,2010,57291,55936
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6607,1936,RIO DE JANEIRO,Três Rios,2010,37014,40418
vw_razao_de_sexo.fid--33501df1_157d3a092ec_660b,801,ALAGOAS,Belém,2010,2222,2329
vw_razao_de_sexo.fid--33501df1_157d3a092ec_660c,1399,CEARÁ,Abaiara,2010,5210,5286
vw_razao_de_sexo.fid--33501df1_157d3a092ec_660d,4517,BAHIA,Itaquara,2010,3842,3836
vw_razao_de_sexo.fid--33501df1_157d3a092ec_660e,1751,MARANHÃO,Santa Luzia,2010,37699,36344
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6624,2345,PARAÍBA,Patos,2010,47805,52869
vw_razao_de_sexo.fid--33501df1_157d3a092ec_663a,4850,SÃO PAULO,São Luís do Paraitinga,2010,5318,5079
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6642,5269,SANTA CATARINA,Cordilheira Alta,2010,1921,1846
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6657,3198,MINAS GERAIS,Catas Altas da Noruega,2010,1761,1701
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6659,739,ACRE,Marechal Thaumaturgo,2010,7463,6764
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6676,2460,PARAÍBA,Riachão do Bacamarte,2010,2082,2182
vw_razao_de_sexo.fid--33501df1_157d3a092ec_6677,2518,MARANHÃO,Senador Alexandre Costa,2010,5122,5134
